Id,CountryCode,CountryName,RegionName,RegionCode,UpperRegionName,UpperRegionCode,PlaceName,LocalityName,PostcodeName,NeighborhoodName,StreetName,Latitude,Longitude
27708,NL,Nederland,Flevoland,FL,NULL,NULL,Emmeloord,NULL,"8304 GX","Emmeloord-de Zuidert",Morrastraat,52.704243,5.763132
73816,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Zoetermeer,Noordhove,"2728 KT",Noordhove-Oost,"De Royschans",52.070526,4.526072
11384,NL,Nederland,Noord-Holland,NH,NULL,NULL,Haarlem,Europawijk,"2034 PE",Kruidenbuurt,Nederlandlaan,52.365891,4.646344
99019,NL,Nederland,Gelderland,GE,NULL,NULL,Nijmegen,NULL,"6571 GD",Kwakkenberg,Kwakkenbergweg,51.828587,5.894161
110292,NL,Nederland,Gelderland,GE,NULL,NULL,Elst,Westeraam,"6662 CZ",Vierslag,Boogschutter,51.919895,5.868377
135996,NL,Nederland,Utrecht,UT,NULL,NULL,Amersfoort,Kattenbroek,"3823 KJ","Gesloten Stad",Imbros,52.189625,5.387178
25165,NL,Nederland,Friesland,FR,NULL,NULL,Menaldum,NULL,"9036 NK","Menaam West","It War",53.214886,5.655955
92726,NL,Nederland,Gelderland,GE,NULL,NULL,Dinxperlo,NULL,"7091 CZ","Dinxperlo Centrum-Oost",Molendwarsweg,51.862003,6.484133
99322,NL,Nederland,Gelderland,GE,NULL,NULL,Nijmegen,NULL,"6525 DB",Groenewoud,Wijntgensstraat,51.823189,5.876848
141113,NL,Nederland,Utrecht,UT,NULL,NULL,Hagestein,NULL,"4124 AK",NULL,Bongerd,51.979343,5.122560
114030,NL,Nederland,Groningen,GR,NULL,NULL,Groningen,Centrum,"9712 JE",Noord,Kattenhage,53.221527,6.568044
75989,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Wassenaar,"Noordoostelijk deel der gemeente","2242 XL",Oostdorp,"Herman Costerstraat",52.149929,4.392468
19803,NL,Nederland,Drenthe,DR,NULL,NULL,Roden,NULL,"9302 GT","Roden West",Valkenveld,53.133331,6.398570
87165,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,"Den Haag",Leidschenveen,"2493 CR","De Lanen","Henk Gottlieblaan",52.064545,4.397348
115468,NL,Nederland,Groningen,GR,NULL,NULL,Groningen,Nieuw,"9746 RG",Reitdiep,Reitdiephaven,53.236568,6.523022
6872,NL,Nederland,Noord-Holland,NH,NULL,NULL,Hilversum,Noordoost,"1222 ET",NULL,Vernhoutstraat,52.239258,5.174260
72668,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Waddinxveen,NULL,"2742 BA",Bomenwijk,Kleikade,52.045956,4.637436
130288,NL,Nederland,Limburg,LI,NULL,NULL,Geleen,NULL,"6163 XR",Lindenheuvel,"De Ruyterweg",50.979301,5.822727
73730,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Moerkapelle,"Moerkapelle wijk 01","2751 BW",Moerkapelle-Oost,"Prins Willemstraat",52.046375,4.578952
52381,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Leende,NULL,"5595 ES",NULL,Lavendelstraat,51.347111,5.549983
85235,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,"Prins Alexander","3059 TJ",Nesselande,"Jan Sirksstraat",51.985283,4.593858
44655,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Hilvarenbeek,NULL,"5081 RZ",NULL,Tamboer,51.488686,5.140505
98957,NL,Nederland,Gelderland,GE,NULL,NULL,Gendt,NULL,"6691 CA",NULL,"Burgemeester Van De Meulenlaan",51.873222,5.968494
94439,NL,Nederland,Gelderland,GE,NULL,NULL,Hengelo,NULL,"7255 AJ",NULL,Fokkinkweg,52.048126,6.306719
141567,NL,Nederland,Utrecht,UT,NULL,NULL,IJsselstein,NULL,"3404 ZA","De Hoven en De Boomgaard",Mexicohof,52.011009,5.049760
92522,NL,Nederland,Gelderland,GE,NULL,NULL,Aalten,NULL,"7122 AK","Aalten-kern Zuid 1","Eerste Broekdijk",51.918079,6.573579
105615,NL,Nederland,Gelderland,GE,NULL,NULL,Nijkerk,NULL,"3862 AB","Coltoflaan-van Oldenbarneveldstraat",Krudopstraat,52.221867,5.487304
74071,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Zoetermeer,Rokkeveen,"2719 GV",Rokkeveen-West,Acaciazoom,52.042690,4.471875
106690,NL,Nederland,Gelderland,GE,NULL,NULL,Culemborg,NULL,"4105 WD","Westelijke Buitenwijken",Bosuilstraat,51.954563,5.207428
121982,NL,Nederland,Zeeland,ZE,NULL,NULL,Zierikzee,NULL,"4301 TA","in het Noorden en Westen",Zandweg,51.669758,3.905683
30183,NL,Nederland,Flevoland,FL,NULL,NULL,Zeewolde,NULL,"3894 DA","Buurt 4",Boor,52.340515,5.534256
98206,NL,Nederland,Gelderland,GE,NULL,NULL,Rheden,NULL,"6991 WD",NULL,Ambtsjonkerstraat,52.003033,6.025171
65754,NL,Nederland,Overijssel,OV,NULL,NULL,Rijssen,Stadsrand,"7461 SJ",Opbroek,Burggraaf,52.308643,6.542797
117003,NL,Nederland,Zeeland,ZE,NULL,NULL,Noordgouwe,NULL,"4317 AH",NULL,Stoofhof,51.692940,3.936730
114965,NL,Nederland,Groningen,GR,NULL,NULL,Adorp,NULL,"9774 PW",NULL,"De Vang",53.275742,6.537506
9539,NL,Nederland,Noord-Holland,NH,NULL,NULL,Badhoevedorp,NULL,"1171 DB","Badhoevedorp Centrum",Badhoevelaan,52.341766,4.788119
14235,NL,Nederland,Noord-Holland,NH,NULL,NULL,"Ouderkerk aan de Amstel",NULL,"1191 WJ",NULL,"Jan Victors",52.299984,4.917726
12711,NL,Nederland,Noord-Holland,NH,NULL,NULL,"Broek op Langedijk",NULL,"1721 HE",NULL,Klaversloot,52.682014,4.799724
124114,NL,Nederland,Limburg,LI,NULL,NULL,Horst,NULL,"5961 GE",Horst-Centrum,Kloosterstraat,51.451530,6.051869
32979,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Ravenstein,Ravenstein,"5371 AP",NULL,Bleek,51.796268,5.653653
42381,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Eindhoven,Meerhoven,"5658 JC",Grasrijk,Graskant,51.440762,5.415122
133581,NL,Nederland,Limburg,LI,NULL,NULL,Stevensweert,NULL,"6107 BG",Eiland-Brandt,"In 't Broek",51.133980,5.853577
44883,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Tilburg,Broekhoven,"5021 GK","Broekhoven I",D'hamalestraat,51.549061,5.092418
81801,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Delft,"Hof van Delft","2613 CW",Ministersbuurt-Oost,"Van Zuylen Van Nijeveltstraat",52.010300,4.348164
88598,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,"Rotterdam Centrum","3011 LB",Stadsdriehoek,Halhof,51.923294,4.488161
34589,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Lith,NULL,"5397 BW",NULL,"Verlengde Herenengstraat",51.803989,5.437963
97573,NL,Nederland,Gelderland,GE,NULL,NULL,Doesburg,NULL,"6981 CT","De oude Stad binnen de gracht",Heerenstraat,52.014877,6.135815
4010,NL,Nederland,Noord-Holland,NH,NULL,NULL,Alkmaar,West,"1817 CE","Bergerhof en Blaeustraatkwartier",Akkerhoornbloemstraat,52.639702,4.741760
83863,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,"Hoek van Holland",NULL,"3151 CE",Dorp,"Jan Mayhof",51.976219,4.140659
32814,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Zeeland,NULL,"5411 ED",NULL,Schoolstraat,51.698528,5.672508
52059,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Rijkevoort,NULL,"5447 BM","Rijkevoort Centrum",Staakijzer,51.660015,5.884312
20636,NL,Nederland,Drenthe,DR,NULL,NULL,Dalen,NULL,"7751 GA",NULL,Hoofdstraat,52.696884,6.755578
77393,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Noordwijk,Noordwijk-Binnen,"2201 JD",Beeklaan-kwartier,Douzastraat,52.232708,4.444760
77849,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,"Den Haag",NULL,"2543 TC",Zijden,Vrederustlaan,52.040161,4.265672
143872,NL,Nederland,Utrecht,UT,NULL,NULL,Bunschoten,NULL,"3752 CA",Spakenburg,Polstraat,52.249699,5.375709
137752,NL,Nederland,Utrecht,UT,NULL,NULL,Houten,"Houten Zuid","3994 HV",Meren,Kratermeer,52.019707,5.196891
105587,NL,Nederland,Gelderland,GE,NULL,NULL,Terschuur,NULL,"3784 WV",terschuur,"Van De Borstraat",52.164375,5.516230
27930,NL,Nederland,Flevoland,FL,NULL,NULL,Dronten,NULL,"8251 TN","De Lancaster",Thomsonstraat,52.514137,5.720220
59509,NL,Nederland,Overijssel,OV,NULL,NULL,Fleringen,NULL,"7666 NR",NULL,"Scholte Nyssinkhoff",52.382874,6.809485
44345,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Oisterwijk,Pannenschuur,"5061 DX","Omg. Bej.Centrum-Molen","De Schelf",51.582325,5.178966
23386,NL,Nederland,Friesland,FR,NULL,NULL,Mitselwier,NULL,"9123 KL",NULL,"It Skûtsje",53.357117,6.066719
71968,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Gouda,Noord,"2805 SZ","Ouwe Gouwe",Idenburgstraat,52.022820,4.713793
44845,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Tilburg,Groenewoud,"5022 JG","Groenewoud Midden",Dolomietenlaan,51.538704,5.086938
97882,NL,Nederland,Gelderland,GE,NULL,NULL,Zevenaar,NULL,"6904 CE",Zonnemaat,"Willem De Zwijgerlaan",51.929501,6.064182
86315,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Dordrecht,Dubbeldam,"3319 GX",Vissersdijk-Beneden,"Klein Kruithof",51.800812,4.711954
87945,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Noordwijk,Noordwijk-Binnen,"2201 DL",Dorpskern,"Gerrit Heeringastraat",52.232086,4.457759
72707,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,"Ter Aar",NULL,"2461 BH","Ter Aar-Centrum",Leeuwerikspad,52.168110,4.703290
111739,NL,Nederland,Groningen,GR,NULL,NULL,Uithuizen,NULL,"9981 CE",NULL,Oosterstationsstraat,53.408901,6.676323
109300,NL,Nederland,Gelderland,GE,NULL,NULL,Nijmegen,Nijmegen-Centrum,"6511 WB",Benedenstad,Johannieterhof,51.848492,5.863758
142003,NL,Nederland,Utrecht,UT,NULL,NULL,Woerden,NULL,"3445 AJ",Staatsliedenkwartier,"Paulus Buyslaan",52.088024,4.895632
56095,NL,Nederland,Overijssel,OV,NULL,NULL,Staphorst,NULL,"7951 JJ",Staphorst-Zuid,Wobbenerf,52.640003,6.216782
50416,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Zevenbergen,NULL,"4761 GT",Torenveld,Watermolen,51.651485,4.602990
77277,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Voorhout,"Voorhout Oude Dorp","2215 AR","De Knip","Vincent Van Goghstraat",52.224224,4.480509
52347,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Etten-Leur,Noord,"4871 MA",Schoenmakershoek,Meesterhof,51.588478,4.662254
24667,NL,Nederland,Friesland,FR,NULL,NULL,Sneek,NULL,"8601 XL",Hemdijk,Leeuweriklaan,53.034981,5.650024
37951,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Dongen,NULL,"5102 XS","West 2",Hortensiastraat,51.631744,4.922299
70268,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,Rotterdam,IJsselmonde,"3078 GA","Groot IJsselmonde","Adriaan De Jongstraat",51.893204,4.550112
47871,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Etten-Leur,Noord,"4871 JX","De Keen",Keenseweg,51.589073,4.648349
102052,NL,Nederland,Gelderland,GE,NULL,NULL,Nederasselt,NULL,"6612 AR",NULL,Sluisweg,51.770973,5.739774
35517,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Vught,NULL,"5262 JV","De Baarzen",Meierijsingel,51.638775,5.283806
50948,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Vessem,NULL,"5512 AZ",Vessem-kom,"Jan Smuldersstraat",51.422459,5.295259
77070,NL,Nederland,Zuid-Holland,ZH,NULL,NULL,"Den Haag",NULL,"2524 VT",Spoorwijk,Schimmelweg,52.050781,4.314000
47539,NL,Nederland,Noord-Brabant,NB,NULL,NULL,Rijsbergen,NULL,"4891 CE",NULL,Hofdreven,51.513813,4.702065
121809,NL,Nederland,Zeeland,ZE,NULL,NULL,Vlissingen,Binnenstad,"4381 EB",Oude,"Jan Allemanstraat",51.444210,3.577196
134930,NL,Nederland,Utrecht,UT,NULL,NULL,Bunschoten,NULL,"3751 GA",Bunschoten,"Da Costastraat",52.239868,5.376436
135395,NL,Nederland,Utrecht,UT,NULL,NULL,Amersfoort,Liendert,"3815 HG","De Horsten",Gruttostraat,52.166134,5.410081
111987,NL,Nederland,Groningen,GR,NULL,NULL,Zuidwolde,NULL,"9785 AV",NULL,Pastorielaan,53.261845,6.592021
